model,split,rf_mape,xgboost_mape,linreg_mape
autoregression_subgroups,train_test_low,26.874645013176416,30.73498970131531,188.4676275438249
autoregression_subgroups_added,train_test_low,17.15208060556751,20.362355673776687,157.2136842958596
autoregressive_with_fb_normalized_subgroups,random_all,24.968894534236565,26.911982739201342,210.54475379430102
autoregressive_with_fb_normalized_subgroups_added,random_all,15.500608147122534,17.03493764153057,139.7189682903937
autoregressive_with_fb_normalized_subgroups,train_test_high,18.68602279126144,21.109387736529108,86.60015381714554
autoregressive_with_fb_normalized_subgroups_added,train_test_high,12.550858625201858,15.207040257017914,25.618360947427828
autoregressive_with_fb_normalized_subgroups,train_test_low,29.319953499208992,29.172814193717624,188.4186647923498
autoregressive_with_fb_normalized_subgroups_added,train_test_low,19.00385317500926,19.00404274580564,154.49772212067532
fb_normalized_subgroups,random_all,373.512750279186,463.23934764861485,3160.887055680067
fb_normalized_subgroups_added,random_all,295.75716344342834,367.3233302891922,2481.845250193065
fb_normalized_subgroups,train_test_high,114.54023858888108,98.82990593560592,597.6462982599429
fb_normalized_subgroups_added,train_test_high,93.14157632859721,76.00907461669222,375.1611701530981
fb_normalized_subgroups,train_test_low,328.7852280964352,425.5310172303813,2363.5479628691287
fb_normalized_subgroups_added,train_test_low,264.02568336640286,347.2977726212465,2092.263369911379
autoregressive_with_fb_normalized_subgroups_data_used,random_all,25.158743903261737,28.74550864051801,209.23620865010645
autoregressive_with_fb_normalized_subgroups_added_data_used,random_all,15.77712014514301,18.503272413511063,134.68252767597616
autoregressive_with_fb_normalized_subgroups_data_used,train_test_high,18.895982418845488,19.09915923506628,89.80350552508511
autoregressive_with_fb_normalized_subgroups_added_data_used,train_test_high,12.848915788020117,12.101711221963498,28.923159762501598
autoregressive_with_fb_normalized_subgroups_data_used,train_test_low,29.08310521102252,29.10354953463724,193.63471777828602
autoregressive_with_fb_normalized_subgroups_added_data_used,train_test_low,18.95484480858712,19.178163366199833,143.65886205713372
fb_normalized_subgroups_data_used,random_all,23.824259864076236,28.344257584019896,210.54425978954959
fb_normalized_subgroups_added_data_used,random_all,14.187776584040733,17.65058566171967,135.97747174517127
fb_normalized_subgroups_data_used,train_test_high,18.528205614037677,18.616030572885943,89.6681521933564
fb_normalized_subgroups_added_data_used,train_test_high,12.199778561200807,11.309942611671408,28.90613709282062
fb_normalized_subgroups_data_used,train_test_low,26.941554293834805,30.16340832123411,188.7684089025059
fb_normalized_subgroups_added_data_used,train_test_low,17.372401629038905,19.48405525318386,137.26570632512465
autoregression_subgroups_data_used,random_all,23.824259864076236,28.344257584019896,210.54425978954959
autoregression_subgroups_added_data_used,random_all,14.187776584040733,17.65058566171967,135.97747174517127
autoregression_subgroups_data_used,train_test_high,18.528205614037677,18.616030572885943,89.6681521933564
autoregression_subgroups_added_data_used,train_test_high,12.199778561200807,11.309942611671408,28.90613709282062
